Program;Length;WS;AS I;AS II;Test;Substitution
>+[<>+o<+]o;11;[('10011', ''), ('', '11')];[('0011', ''), ('0100', '')];[('10011', ''), ('10', ''), ('0', '1')];[('10100', ''), ('10101', ''), ('10110', ''), ('10111', ''), ('11', '')];0
->+>-[<o];9;[('1100', ''), ('010', '')];[('00110', '1'), ('00111', '1')];[('111', ''), ('101', '10'), ('1', '00')];[('0110', ''), ('0111', ''), ('1000', ''), ('110', ''), ('011', '')];0
>>+o<<-o;8;[('000', '1'), ('01', '0')];[('01', '0'), ('0001', '1')];[('1', '00'), ('10', '00'), ('11', '00')];[('010', '1'), ('0010', ''), ('00', '0'), ('00001', '1'), ('0011', '')];0
>-[[<]>o-];10;[('01', '0'), ('00', ''), ('10', '')];[('01', '0'), ('10', '')];[('11001', '10'), ('010', '0'), ('11', '10')];[('00', ''), ('11010', '10'), ('011', '0'), ('1', '10'), ('1001', '')];0
-[o>]>>+o;9;[('100', '0000')];[('111', '0110'), ('0110', '')];[('1', '00'), ('0111', ''), ('10', '000')];[('1000', '00000'), ('00110', ''), ('00111', ''), ('1001', '00010'), ('11', '010')];0
>+[[<-]>o-];11;[('100', ''), ('', ''), ('10', ''), ('01', '')];[('00100', '1'), ('0100', '')];[('0101', ''), ('00101', '1'), ('1', '')];[('00', '1'), ('01', ''), ('00110', '1'), ('10', ''), ('00111', '1')];0
>>+o<<+o;8;[('00', '01'), ('0', '01')];[('10100', ''), ('00', '01')];[('100', '1'), ('0100', '11'), ('01', '01')];[('0101', '11'), ('110', '1'), ('0110', ''), ('10', '0'), ('111', '')];0
>->-[<-o<+];11;[('110', ''), ('11', ''), ('01', '')];[('0', '01'), ('110', '')];[('10101', '1'), ('01', ''), ('111', '')];[('000', ''), ('10110', '1'), ('0101', ''), ('10', '1'), ('11', '')];0
>>+o[+<+]o;10;[('0011', ''), ('', '0'), ('0', '0')];[('0', '0'), ('11000', '1')];[('1000', '1'), ('11001', '1'), ('00', '0')];[('1001', '1'), ('11010', '1'), ('01', '0'), ('000', '1'), ('10', '0')];0
>>-o[-<-]o;10;[('110', ''), ('0101', '')];[('1', '1'), ('00', '1')];[('10000', ''), ('0000', ''), ('0001', '')];[('000', ''), ('10001', ''), ('01', '1'), ('0010', '0'), ('001', '0')];0
>+>+[<+o<-];11;[('00', ''), ('00111', '')];[('0011', ''), ('1', '10')];[('100', ''), ('00011', ''), ('00100', '')];[('00101', ''), ('11', '00'), ('00110', ''), ('10', ''), ('101', '')];0
>>-o<<-o;8;[('1', '10'), ('1001', '')];[('10100', '00'), ('1', '10')];[('00', '1'), ('01', '1'), ('10', '10')];[('11', '10'), ('101', '00'), ('10101', '00'), ('110', ''), ('111', '00')];0
+[o>]>>-o;9;[('111', '0'), ('10', '1')];[('010', '1101'), ('0', '11')];[('10010', ''), ('0010', '10101'), ('0011', '10111')];[('011', '1111'), ('10011', ''), ('10', '1'), ('100', ''), ('10100', '0')];0
>+[[<]>o+];10;[('100', '1'), ('0', '01')];[('1101', ''), ('01101', '')];[('0', '01'), ('01', ''), ('01110', '')];[('1110', ''), ('110', ''), ('01111', ''), ('10000', '1'), ('10', '1')];0
>>-o<<+o;8;[('10', '1'), ('0001', '')];[('0', '11'), ('0000', '')];[('0001', ''), ('00', '11'), ('01', '11')];[('0010', '01'), ('10', '1'), ('11', '1'), ('000', ''), ('001', '01')];0
+>->+[<o];9;[('011', ''), ('10', ''), ('00', '')];[('01', '01'), ('1001', '')];[('1010', ''), ('0', '11'), ('1011', '')];[('1100', '0'), ('001', ''), ('10', ''), ('11001', '0'), ('11010', '0')];0
-[+>]<o;7;[('00', ''), ('000', ''), ('11', '')];[('00101', ''), ('01', '')];[('', ''), ('00110', ''), ('110', '1')];[('111', ''), ('010', ''), ('001', ''), ('1', '1'), ('00111', '')];0
+[->]<o;7;[('0010', ''), ('000', '')];[('100', ''), ('0011', '0')];[('00', ''), ('0100', ''), ('11', '')];[('', ''), ('10011', ''), ('10', ''), ('101', ''), ('10100', '')];0
+>+[<oo];8;[('11', ''), ('01', ''), ('101', '')];[('11100', ''), ('1100', '')];[('101', ''), ('11101', ''), ('', '00')];[('1101', ''), ('11110', ''), ('00', '11'), ('1110', ''), ('01', '')];0
+[-o>]<o;8;[('000', '0'), ('110', '')];[('010', '00'), ('1010', '')];[('', ''), ('1011', ''), ('11', '')];[('1100', ''), ('1101', ''), ('1110', ''), ('011', '0000'), ('100', '')];0
+[-o>-o>];9;[('11001', ''), ('', ''), ('11', '')];[('10', ''), ('10101', '')];[('', ''), ('101', ''), ('110', '')];[('0101', '00'), ('11', ''), ('01', '00'), ('0110', '000'), ('0111', '0000')];0
+[>]<[o-];9;[('00100', '0'), ('', '0')];[('10', ''), ('', '0')];[('11', ''), ('01', '10'), ('1001', '')];[('001', '10'), ('1010', ''), ('11001', ''), ('11010', ''), ('1011', '')];0
>[<o]-<+oo;10;[('0110', '0'), ('', '00')];[('00110', '0'), ('', '00')];[('00111', '0'), ('0110', '0'), ('0111', '0')];[('1000', '1'), ('1001', '1'), ('1010', '1'), ('11', '1'), ('110', '1')];0
>-[<+o]>+o;10;[('11110', ''), ('', '00')];[('11', ''), ('01', '10')];[('01110', '10'), ('0', '10'), ('10', '0')];[('110', ''), ('01111', '10'), ('10000', '1'), ('1110', ''), ('1111', '')];0
+[>>+o<-o];10;[('101', ''), ('0', '010')];[('10', ''), ('00001', '1')];[('001', ''), ('010', '10000'), ('11', '')];[('0', '010'), ('00010', '1'), ('01', '000'), ('0001', '1'), ('0010', '')];0
+[<+o>+o];9;[('10', ''), ('10010', '')];[('111', ''), ('010', '0')];[('011', '0'), ('00111', '0'), ('11', '')];[('0', '0'), ('01000', '0'), ('01001', '0'), ('01010', '0'), ('100', '')];0
+[>[<-]-o<o];12;[('0111', ''), ('101', '')];[('10', ''), ('11001', '')];[('1001', ''), ('0', '11'), ('001', '')];[('11010', ''), ('1010', ''), ('010', ''), ('11011', ''), ('011', '')];0
+[>[o<+]-<];11;[('111', ''), ('1000', '')];[('11100', ''), ('1100', '')];[('01', '1'), ('11101', ''), ('0', '1')];[('1101', ''), ('11110', ''), ('100', ''), ('10', ''), ('1110', '')];0
[>]<-<o<oo;10;[('0', ''), ('', ''), ('010', '100')];[('0', ''), ('01', '0')];[('01000', '000'), ('10', '1'), ('1000', '000')];[('000', '000'), ('1001', '000'), ('01001', '000'), ('1010', '100'), ('1011', '100')];0
>-<+[-o>];9;[('0100', '0'), ('', ''), ('10', '')];[('10', ''), ('11111', '')];[('11001', ''), ('', ''), ('11010', '')];[('111', ''), ('1111', ''), ('001', '0'), ('11', ''), ('11011', '')];0
>+[<+]<o>o;10;[('', ''), ('0', ''), ('1000', ''), ('10', '')];[('010', '0'), ('', '')];[('11', '1'), ('00010', ''), ('00011', '')];[('0010', ''), ('011', '0'), ('0011', ''), ('0100', '0'), ('0101', '0')];0
>+[<+o]<o;9;[('0', '10'), ('111', '1')];[('10', ''), ('001', '10')];[('11', '1'), ('00', '10'), ('00001', '10')];[('010', '0'), ('0001', '10'), ('0010', '10'), ('0011', '10'), ('0100', '0')];0
>+[<+o]+<o;10;[('0100', '0'), ('10', '')];[('0011', '10'), ('00011', '10')];[('00100', '10'), ('0100', '0'), ('011', '0')];[('100', ''), ('00101', '10'), ('00', '10'), ('00110', '10'), ('00111', '10')];0
+[<+o->+o];10;[('00', '0'), ('000', '0')];[('10', ''), ('00101', '0')];[('00110', '0'), ('00111', '0'), ('0', '0')];[('01000', '0'), ('11', ''), ('00', '0'), ('0101', '0'), ('0110', '0')];0
+[>-o-oo>];10;[('10011', ''), ('11', '')];[('00100', ''), ('00101', '')];[('0100', '0'), ('00', ''), ('00110', '')];[('0101', '0'), ('0', '100'), ('10', ''), ('11', ''), ('00111', '')];0
+[>-o-[o+]];11;[('11', ''), ('11110', '')];[('0', '101'), ('111', '')];[('1111', ''), ('110', ''), ('11', '')];[('000', ''), ('10', ''), ('11111', ''), ('01110', '0'), ('001', '')];0
>-[<-]<+o<o;11;[('0', '0'), ('', ''), ('0101', '0')];[('10', ''), ('101', '')];[('110', ''), ('', ''), ('111', '')];[('001', '1'), ('01101', '0'), ('11', ''), ('01110', '0'), ('1101', '')];0
+o[->]<o;8;[('', '0'), ('100', ''), ('101', '')];[('', '0'), ('1110', '')];[('01110', '1'), ('11', ''), ('1111', '')];[('01', '10'), ('0110', '1'), ('0111', '10'), ('110', ''), ('10', '')];0
+[>-[>]<o<];11;[('111', ''), ('11', ''), ('10', '')];[('1111', ''), ('0', '101')];[('11111', ''), ('01', '01'), ('11', '')];[('111', ''), ('10011', ''), ('10100', ''), ('10', ''), ('011', '1001')];0
+[>-[<]-o>];11;[('11110', ''), ('11', '')];[('0011', '11'), ('0', '1')];[('00011', '11'), ('0100', '111'), ('01', '11')];[('011', '11'), ('11', ''), ('100', ''), ('10', ''), ('101', '')];0
+[<-o>+o];9;[('10001', ''), ('0', '1')];[('10', ''), ('11', '')];[('01101', '1'), ('01', '1'), ('101', '')];[('0', '1'), ('1101', ''), ('01110', '1'), ('01111', '1'), ('10000', '')];0
+[<-o+>+o];10;[('111', ''), ('0', '1'), ('11', '')];[('1110', ''), ('11', '')];[('01110', '1'), ('110', ''), ('1111', '')];[('0', '1'), ('01', '1'), ('10', ''), ('01111', '1'), ('10000', '')];0
>+[<+]>-o>o;11;[('', ''), ('000', ''), ('10', '0'), ('0', '')];[('10100', '01'), ('', '')];[('0100', ''), ('00', ''), ('10101', '01')];[('100', '00'), ('101', '01'), ('0101', ''), ('110', ''), ('10110', '01')];0
>+<+[>]<o<o;11;[('0111', '1'), ('', '00')];[('11111', ''), ('', '00')];[('11100', ''), ('00', '11'), ('11101', '')];[('11110', ''), ('10000', ''), ('11', ''), ('111', ''), ('10001', '')];0
>+<+[o>];8;[('010', '1'), ('101', '')];[('010', '1'), ('11', '')];[('00', '11'), ('0010', '1110'), ('011', '1')];[('0011', '1111'), ('10', ''), ('', '00'), ('10010', ''), ('10011', '')];0
+o[>+o<+];9;[('0111', '1'), ('10', '')];[('0', '10'), ('00111', '11')];[('01000', '1'), ('0111', '1'), ('111', '')];[('01001', '1'), ('00', '11'), ('11', ''), ('1000', ''), ('01010', '1')];0
+[>+>-[o<]];11;[('101', ''), ('11', ''), ('10', '')];[('0', '101'), ('0101', '')];[('101', ''), ('0110', '0'), ('10101', '')];[('0111', '0'), ('110', ''), ('1000', ''), ('1001', ''), ('10110', '')];0
+[>>-o<+o];10;[('111', ''), ('0', '101')];[('10', ''), ('1001', '')];[('11', ''), ('001', '01111'), ('0', '101')];[('1010', ''), ('010', ''), ('11001', ''), ('011', '0'), ('100', '')];0
+[-[o<+]>-];11;[('11', ''), ('10', ''), ('100', '')];[('00', '00'), ('01', '00')];[('0000', '00'), ('10', ''), ('0001', '00')];[('0010', '00'), ('11', ''), ('000', '00'), ('0011', '00'), ('0100', '00')];0
+[>+o<<+o];10;[('10', ''), ('010', ''), ('11', '')];[('1110', ''), ('10', '')];[('1111', ''), ('0000', '10'), ('11', '')];[('01110', ''), ('00', '10'), ('01111', ''), ('0001', '10'), ('01', '')];0
+[>+[o<+]<-];12;[('11', ''), ('11010', '')];[('10011', ''), ('11', '')];[('0011', '10'), ('0100', '010'), ('10100', '')];[('10101', ''), ('00', '10'), ('011', '010'), ('0101', '010'), ('10110', '')];0
+[>+o<+]>o;10;[('10', '0'), ('111', '1')];[('00', '11'), ('0100', '')];[('0101', ''), ('100', '0'), ('00100', '11')];[('0110', ''), ('0111', ''), ('00101', '11'), ('00110', '11'), ('101', '0')];0
+[-[o<+]-o];11;[('100', ''), ('11', ''), ('10', '')];[('10111', ''), ('11', '')];[('111', ''), ('0111', '00'), ('11000', '')];[('00', '00'), ('100', ''), ('1000', ''), ('101', ''), ('1001', '')];0
+[+[o<+]+o<-];13;[('11', ''), ('', '10'), ('101', '')];[('1110', ''), ('10', '')];[('01110', '00'), ('11', ''), ('01111', '00')];[('110', ''), ('10000', ''), ('111', ''), ('1111', ''), ('10001', '')];0
+[>+<+]>o[o-];13;[('1101', '110')];[('0010', '110'), ('10', '00')];[('010', ''), ('0011', '110'), ('00010', '110')];[('00011', '110'), ('11', '110'), ('00100', '110'), ('00101', '110'), ('00', '110')];0
[<-]>+[<-o]o;12;[('011', ''), ('00', ''), ('01', '')];[('01011', ''), ('01100', '')];[('01101', ''), ('01110', ''), ('1011', '')];[('11', ''), ('1100', ''), ('011', ''), ('01111', ''), ('100', '')];0
+[>-[-o<o+]];12;[('101', ''), ('00', ''), ('01', '')];[('1010', ''), ('11010', '')];[('010', ''), ('1011', ''), ('10', '')];[('1100', ''), ('011', ''), ('11011', ''), ('100', ''), ('11', '')];0
+[-[<]+o+];10;[('', '00'), ('0', '0'), ('111', '')];[('001', '0'), ('010', '0')];[('10001', ''), ('011', '0'), ('100', '')];[('01', '0'), ('10', ''), ('0001', '0'), ('0010', '0'), ('101', '')];0
+[>>+o<-<+]>o;13;[('111', '1'), ('10', '0')];[('001', ''), ('010', '10')];[('00001', '1'), ('011', ''), ('0001', '1')];[('01', '00'), ('00010', '1'), ('10', '0'), ('11', '1'), ('00011', '1')];0
+[>+o<<-o];10;[('10000', ''), ('11', '')];[('00', '11'), ('000', '11')];[('01', ''), ('10000', ''), ('001', '11')];[('0000', '11'), ('0001', '11'), ('10001', ''), ('10', ''), ('0010', '11')];0
+[+[o<+o]<+o];13;[('10111', ''), ('11', '')];[('11011', ''), ('011', '01')];[('1011', ''), ('100', ''), ('1100', '')];[('1101', ''), ('101', ''), ('11', ''), ('1110', ''), ('01', '01')];0
+[-[<-]-o];10;[('1011', ''), ('11', ''), ('', '1')];[('01111', ''), ('11', '')];[('10000', ''), ('1111', ''), ('10001', '')];[('00', ''), ('0100', ''), ('10010', ''), ('0101', ''), ('10', '')];0
+[-[o<-]<-oo];13;[('01', '01'), ('101', '')];[('00', '01'), ('0000', '01')];[('000', '01'), ('001', '01'), ('00000', '01')];[('010', '01'), ('011', '01'), ('01', '01'), ('10', ''), ('00001', '01')];0
+[+[o<-o]<+o];13;[('10001', ''), ('10', '')];[('001', '01'), ('010', '01')];[('11001', ''), ('11010', ''), ('01', '01')];[('11011', ''), ('1001', ''), ('011', '01'), ('100', ''), ('10', '')];0
+o[>+o-<+];10;[('1101', ''), ('110', '')];[('101', ''), ('110', '')];[('111', ''), ('1101', ''), ('010', '1')];[('1110', ''), ('01', '1'), ('01101', '1'), ('10', ''), ('01110', '1')];0
+[[o+]+o>];10;[('10', ''), ('10100', '')];[('001', '1001010'), ('11001', '')];[('1001', ''), ('1010', ''), ('1011', '')];[('01', '1010'), ('10', ''), ('11', ''), ('010', '1010010'), ('00', '10010')];0
+[>+<o+]>o;10;[('110', '1'), ('11', '1')];[('101', '0'), ('01', '1')];[('10', '0'), ('110', '1'), ('1101', '1')];[('11', '1'), ('01101', '1'), ('00', '11'), ('01110', '1'), ('1110', '1')];0
+[>-o-o+<+];11;[('111', ''), ('1110', '')];[('00', ''), ('01', '0')];[('10', ''), ('000', ''), ('1000', '')];[('11', ''), ('001', ''), ('01000', '0'), ('1001', ''), ('010', '0')];0
+[>-o<-<+o];11;[('00100', ''), ('10', '')];[('001', ''), ('010', '00')];[('01', '00'), ('10', ''), ('11001', '')];[('11010', ''), ('011', '00'), ('100', ''), ('1001', ''), ('1010', '')];0
+[+[o+>]+<+];12;[('11', ''), ('10000', '')];[('1110', ''), ('1111', '')];[('01110', '101110'), ('10', ''), ('01111', '10111110')];[('11', ''), ('00', '100'), ('01', '10110'), ('10000', ''), ('110', '')];0
>+[+<+[>]<o<];13;[('11100', ''), ('11', '')];[('0110', ''), ('110', '')];[('10110', ''), ('0111', ''), ('10', '')];[('10111', ''), ('11', ''), ('1000', ''), ('00', '1'), ('1001', '')];0
+[o+<-]>o;9;[('1001', '0'), ('', '01')];[('101', '0'), ('110', '1')];[('0101', '11'), ('111', '1'), ('01', '11')];[('10', '0'), ('001', '11'), ('0110', '11'), ('0111', '11'), ('00101', '11')];0
+[>-o<+]>o;10;[('1000', '0'), ('00', '')];[('01111', '00'), ('0', '11')];[('10000', '0'), ('111', '1'), ('01', '00')];[('10001', '0'), ('11', '1'), ('1111', '1'), ('101', '0'), ('110', '1')];0
+[>+[+o<o]];11;[('0110', ''), ('111', '')];[('1010', ''), ('10', '')];[('1011', ''), ('11', ''), ('11010', '')];[('11011', ''), ('00', ''), ('010', ''), ('1100', ''), ('011', '')];0
[->]<-oo-<o;11;[('101', ''), ('11', ''), ('', '11')];[('1110', '110'), ('1111', '')];[('110', '110'), ('111', ''), ('1101', '')];[('0001', ''), ('10', '110'), ('101', ''), ('01110', '110'), ('001', '')];0
+[+<+]oo>o;10;[('0', ''), ('0011', ''), ('', ''), ('11', '')];[('00', ''), ('000', '')];[('01', ''), ('10', ''), ('01000', '')];[('11', ''), ('001', ''), ('010', ''), ('1000', ''), ('011', '')];0
>+>[<]<o;8;[('11', ''), ('0110', '0')];[('10', '1'), ('010', '0')];[('10001', ''), ('011', '0'), ('11', '')];[('01', ''), ('0001', ''), ('100', ''), ('101', ''), ('1', '0')];0
>+>-[<o];8;[('0100', ''), ('111', '')];[('01', ''), ('11001', '')];[('11010', ''), ('1001', ''), ('10', '11')];[('1010', '11'), ('11011', ''), ('11', ''), ('00', '10'), ('010', '')];0
>->-[<-o<];10;[('1', '01'), ('00', '11')];[('10100', '11'), ('1', '01')];[('00', '11'), ('0100', ''), ('01', '')];[('101', '11'), ('10101', '11'), ('10110', '11'), ('10', '11'), ('110', '')];0
>>+[o<<];8;[('0011', ''), ('011', '')];[('10100', ''), ('10101', '')];[('1', '01'), ('10110', ''), ('10111', '')];[('11000', '11'), ('00', '00'), ('01', '00'), ('101', ''), ('110', '11')];0
[>]<<+o;7;[('0101', '1'), ('1', '0')];[('1011', ''), ('11011', '')];[('011', ''), ('1100', '1'), ('1', '0')];[('1101', '1'), ('101', '1'), ('0', '0'), ('110', ''), ('111', '')];0
[>]<-<-o>o;10;[('10001', ''), ('', ''), ('00', '')];[('0', '1'), ('00', '')];[('1000', ''), ('01', ''), ('000', '')];[('1001', ''), ('1010', '0'), ('11000', ''), ('001', ''), ('11001', '')];0
[>-o>>]<+o;10;[('00001', ''), ('10', '')];[('10', ''), ('10110', '')];[('0', '10'), ('11', '00'), ('10111', '')];[('0110', '010'), ('111', '0'), ('110', '01'), ('0111', '010'), ('00', '')];0
-[>]<<+o;8;[('101', '1'), ('000', '')];[('00100', ''), ('0100', '')];[('0', ''), ('1', '0'), ('100', '1')];[('101', '1'), ('111', ''), ('00', ''), ('0101', ''), ('000', '')];0
>+[[<]>o-];10;[('0', '0'), ('100', '10')];[('10', '10'), ('0', '0')];[('11', ''), ('0110', ''), ('0111', '')];[('10110', '10'), ('111', ''), ('1000', '10'), ('1001', '10'), ('001', '0')];0
>+[+<]>-o>o;11;[('000', '0'), ('11', '1')];[('01', '1'), ('1001', '1')];[('10', '1'), ('0', '01'), ('001', '0')];[('011', '0'), ('100', '1'), ('101', '1'), ('1010', '1'), ('1011', '1')];0
>>+[<]>o;8;[('1111', '1'), ('1', '0')];[('011', ''), ('00010', '0')];[('0010', '0'), ('00011', '0'), ('100', '1')];[('10', '1'), ('00100', '0'), ('00101', '0'), ('101', ''), ('00110', '1')];0
>+<[>]<+<o>o;12;[('001', '1'), ('10', '1')];[('11100', ''), ('11101', '')];[('100', '11'), ('11110', ''), ('1100', '')];[('1101', ''), ('11111', ''), ('00', '0'), ('1110', ''), ('1111', '')];0
>>-[<]>o;8;[('01', '0'), ('101', '1')];[('011', '0'), ('1', '1')];[('11111', '1'), ('11', '1'), ('11010', '1')];[('0', '1'), ('11011', '1'), ('100', ''), ('11100', '1'), ('10', '1')];0
>-<[>]<-<o>o;12;[('00001', ''), ('10', '')];[('11', '1'), ('0111', '10')];[('1', '10'), ('00111', ''), ('01000', '0')];[('01', '0'), ('01001', '00'), ('01010', '1'), ('110', '0'), ('01011', '10')];0
>-[[<]>o+];10;[('00000', ''), ('1', '1')];[('1', '1'), ('0110', '01')];[('0111', '01'), ('1000', ''), ('1001', '')];[('00110', ''), ('10', ''), ('00111', ''), ('1010', ''), ('01000', '01')];0
+[>]<<-o;8;[('10000', ''), ('11', '')];[('0', '1'), ('111', '')];[('1110', ''), ('11', ''), ('110', '')];[('000', ''), ('1111', ''), ('100', ''), ('1101', ''), ('01110', '0')];0
>-[-<]>+o>o;11;[('0010', ''), ('00', '0')];[('0011', ''), ('11', '1')];[('10011', '11'), ('100', '1'), ('01', '0')];[('1', '10'), ('10', '0'), ('10100', ''), ('10101', ''), ('101', '')];0
[>+o>>]<-o;10;[('01011', ''), ('01', '')];[('1110', ''), ('1111', '')];[('11110', ''), ('1', '01'), ('10', '11')];[('111', ''), ('110', ''), ('1101', ''), ('11', ''), ('11111', '')];0
>>-[o<<];8;[('01111', '00')];[('1101', ''), ('01', '10')];[('110', ''), ('1110', '01'), ('10', '11')];[('01101', '00'), ('1', '11'), ('111', '01'), ('100', ''), ('1111', '01')];0
[>]<+<+o>o;10;[('', ''), ('00011', ''), ('1', '0')];[('010', ''), ('0010', '')];[('10', ''), ('0011', ''), ('100', '11')];[('101', '1'), ('0100', '11'), ('1', '0'), ('0101', '1'), ('11', '')];0
>->+[<o];8;[('01111', ''), ('10', '')];[('1', '11'), ('00', '')];[('1000', ''), ('1001', ''), ('000', '')];[('01', '00'), ('1010', ''), ('1011', ''), ('01000', '00'), ('01001', '00')];0
[>]<<-o;7;[('10000', ''), ('0', '1')];[('1011', '0'), ('01011', '0')];[('11', '0'), ('01100', ''), ('10', '0')];[('01101', ''), ('1', '1'), ('100', ''), ('101', ''), ('1100', '')];0
>+>+[<+o<];10;[('1001', ''), ('0', '10')];[('01', '00'), ('10001', '')];[('10', ''), ('11', '00'), ('0', '10')];[('0001', ''), ('001', ''), ('10010', ''), ('00', ''), ('10011', '')];0
-[+>+[<]]>o;11;[('10000', '1')];[('101', '1'), ('01', '1')];[('10', '1'), ('0101', '1'), ('110', '0')];[('00101', '0'), ('00110', '0'), ('00', '0'), ('0110', '1'), ('00111', '0')];0
+[->-[<]]>o;11;[('11', '1'), ('10', '0')];[('101', '0'), ('0101', '0')];[('10101', '0'), ('110', '1'), ('10', '0')];[('111', '1'), ('10110', '0'), ('010', '0'), ('0110', '0'), ('11', '1')];0
+[<+>+]<o;9;[('01011', '0')];[('1110', ''), ('110', '')];[('11', ''), ('00', '0'), ('1111', '')];[('01', '0'), ('01110', '0'), ('111', ''), ('01111', '0'), ('001', '0')];0
+[+>]<o;7;[('001', ''), ('101', '')];[('01', ''), ('10', '')];[('11', ''), ('100', ''), ('1100', '')];[('101', ''), ('110', ''), ('111', ''), ('01100', '1'), ('000', '1')];0
[>->]<+o;8;[('011', ''), ('010', '')];[('1110', '0'), ('1111', '1')];[('1010', '0'), ('1011', '1'), ('1100', '0')];[('01110', ''), ('01111', ''), ('10000', ''), ('1101', '1'), ('10001', '')];0
-[>+>]<o;8;[('011', ''), ('100', '0')];[('01', ''), ('0001', '')];[('0010', ''), ('0011', ''), ('10001', '0')];[('10', '1'), ('11', ''), ('0100', ''), ('10010', '0'), ('0101', '')];0
-[-o]>>oo;9;[('0101', '00'), ('1', '')];[('01', ''), ('00101', '11')];[('00110', '11'), ('1', ''), ('0101', '00')];[('10', ''), ('0110', '11'), ('110', ''), ('0111', '11'), ('111', '')];0
[+>o]<+o;8;[('1', ''), ('01', '1'), ('00', '0')];[('1', ''), ('10', '0')];[('1110', '110'), ('1111', '111'), ('11110', '1110')];[('11', '1'), ('111', '11'), ('00', '0'), ('0111', '111'), ('000', '00')];0
-[>>>+o<];9;[('11011', ''), ('1', '0')];[('0111', ''), ('11', '0')];[('10111', ''), ('11000', '100'), ('1', '0')];[('11001', '100'), ('11010', ''), ('1000', '10'), ('1001', ''), ('11011', '')];0
-[-<]>o>o;9;[('00', '0'), ('1111', '')];[('111', ''), ('1', '')];[('011', '11'), ('10111', ''), ('11000', '')];[('100', ''), ('11001', ''), ('11010', ''), ('11011', ''), ('11100', '')];0
-[-o]>>o<o;10;[('111', ''), ('100', ''), ('1', '')];[('1', ''), ('0101', '01')];[('110', ''), ('111', ''), ('0110', '11')];[('10101', ''), ('000', '00'), ('0111', '11'), ('01', ''), ('10110', '')];0
+>+[<-]+o<o;11;[('10', ''), ('1101', '0')];[('101', ''), ('0101', '01')];[('10', ''), ('0110', '01'), ('0111', '01')];[('11', '0'), ('110', '0'), ('111', '0'), ('00', ''), ('010', '01')];0
